,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
6465,73531020,618 CUNNINGHAME CT,10/31/22,2022,10,2022-10,492990,2022,3244,151.9697904,33.4241086,-84.607006,13113140210,West Fayette,POINT (-84.607006 33.4241086)
1499,72106025,400 WEEPING WILLOW WAY,2/26/20,2020,2,2020-2,299700,1992,1972,151.9776876,33.4624597,-84.5493077,13113140204,West Fayette,POINT (-84.5493077 33.4624597)
10673,130313020,115 MOSS CREEK WALK,7/29/21,2021,7,2021-7,390000,1997,2566,151.9875292,33.5263177,-84.4653794,13113140104,Fayetteville,POINT (-84.4653794 33.5263177)
10695,52410006,150 WILBANKS DR,7/28/21,2021,7,2021-7,195000,1990,1283,151.9875292,33.449284,-84.4404343,13113140410,Fayetteville,POINT (-84.4404343 33.449284)
6680,71302018,500 AVALON DR,2/26/21,2021,2,2021-2,290000,1979,1908,151.9916143,33.4445898,-84.5470418,13113140206,West Fayette,POINT (-84.5470418 33.4445898)
6372,74625010,418 SOUTHBRIDGE PASS,3/17/20,2020,3,2020-3,385155,2019,2534,151.9948698,33.4181752,-84.6142041,13113140210,West Fayette,POINT (-84.6142041 33.4181752)
200,0739  053,269 PALMETTO RD,6/17/20,2020,6,2020-6,342000,2002,2250,152,33.4884471,-84.5986208,13113140203,West Fayette,POINT (-84.5986208 33.4884471)
2708,73027011,302 CORONADO DR,5/29/19,2019,5,2019-5,470000,1999,3092,152.0051746,33.4323666,-84.5875137,13113140207,West Fayette,POINT (-84.5875137 33.4323666)
702,52429024,780 VIRGINIA HIGHLANDS,10/26/21,2021,10,2021-10,420000,2005,2763,152.0086862,33.4415614,-84.4319958,13113140410,Fayetteville,POINT (-84.4319958 33.4415614)
7415,73212026,105 LAKESIDE DR,12/29/20,2020,12,2020-12,325000,1979,2138,152.0112254,33.3990273,-84.5686697,13113140303,West Fayette,POINT (-84.5686697 33.3990273)
14217,73908021,115 BRUNSWICK DR,12/12/22,2022,12,2022-12,550000,2004,3618,152.0176893,33.4932028,-84.5890684,13113140203,West Fayette,POINT (-84.5890684 33.4932028)
1035,54201001,1061 HIGHWAY 92 N,4/20/22,2022,4,2022-4,410000,1986,2697,152.0207638,33.4993718,-84.4907325,13113140102,Fayetteville,POINT (-84.4907325 33.4993718)
