,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month
2567,070702002,110 MACKENZIE LN,2021-12-09,407000.0,1998,2499,110 Mackenzie Ln Fayette County GA,070702002-12/9/2021-407000.0,162.86514605842336,2021,2021,12,2021-12
2568,054806006,180 EASTMARK WAY,2021-12-08,518477.0,2021,3455,180 Eastmark Way Fayette County GA,054806006-12/8/2021-518477.0,150.0657018813314,2021,2021,12,2021-12
2569,071708027,105 SPUR RDG,2021-12-08,292800.0,1976,1560,105 Spur Rdg Fayette County GA,071708027-12/8/2021-292800.0,187.69230769230768,2021,2021,12,2021-12
2570,074543007,209 SWEETBAY CT,2021-12-08,477890.0,2021,2237,209 Sweetbay Ct Fayette County GA,074543007-12/8/2021-477890.0,213.6298614215467,2021,2021,12,2021-12
2571,074630020,20 SINGLETON WAY,2021-12-08,358993.0,2021,2036,20 Singleton Way Fayette County GA,074630020-12/8/2021-358993.0,176.32269155206288,2021,2021,12,2021-12
2572,052424026,295 CLOVERWOOD DR,2021-12-08,300000.0,1999,1390,295 Cloverwood Dr Fayette County GA,052424026-12/8/2021-300000.0,215.8273381294964,2021,2021,12,2021-12
2573,054401013,195 POPLAR WAY,2021-12-08,268000.0,1980,1852,195 Poplar Way Fayette County GA,054401013-12/8/2021-268000.0,144.7084233261339,2021,2021,12,2021-12
2574,044204002,110 ROSEMONT TRCE,2021-12-08,392000.0,1987,2859,110 Rosemont Trce Fayette County GA,044204002-12/8/2021-392000.0,137.11087792934592,2021,2021,12,2021-12
2575,070303011,115 EDGEWATER TRL,2021-12-07,460000.0,2018,2526,115 Edgewater Trl Fayette County GA,070303011-12/7/2021-460000.0,182.10609659540776,2021,2021,12,2021-12
2576,073706002,195 WINFAIR DR,2021-12-07,325000.0,2002,1772,195 Winfair Dr Fayette County GA,073706002-12/7/2021-325000.0,183.40857787810384,2021,2021,12,2021-12
2577,051808033,125 WYNGATE CIR,2021-12-07,375000.0,1992,2668,125 Wyngate Cir Fayette County GA,051808033-12/7/2021-375000.0,140.55472263868066,2021,2021,12,2021-12
2578,073213025,214 DRIFTWOOD LN,2021-12-07,329000.0,1979,1661,214 Driftwood Ln Fayette County GA,073213025-12/7/2021-329000.0,198.07344972907887,2021,2021,12,2021-12
2579,071918034,117 MAPLE GROVE TER,2021-12-07,355500.0,2003,1795,117 Maple Grove Ter Fayette County GA,071918034-12/7/2021-355500.0,198.050139275766,2021,2021,12,2021-12
2580,074630019,18 SINGLETON WAY,2021-12-07,378861.0,2021,2376,18 Singleton Way Fayette County GA,074630019-12/7/2021-378861.0,159.45328282828282,2021,2021,12,2021-12
2581,042902006,155 CHANTILLY LN,2021-12-06,493500.0,2013,3418,155 Chantilly Ln Fayette County GA,042902006-12/6/2021-493500.0,144.3826799297835,2021,2021,12,2021-12
2582,074533023,100 WESTCHESTER PASS,2021-12-06,535061.0,2021,2870,100 Westchester Pass Fayette County GA,074533023-12/6/2021-535061.0,186.43240418118467,2021,2021,12,2021-12
2583,074701007,169 WYNNMEADE PKWY,2021-12-06,185000.0,1973,1008,169 Wynnmeade Pkwy Fayette County GA,074701007-12/6/2021-185000.0,183.53174603174602,2021,2021,12,2021-12
2584,071719071,105 NOB HL,2021-12-06,552000.0,1984,2532,105 Nob Hl Fayette County GA,071719071-12/6/2021-552000.0,218.00947867298578,2021,2021,12,2021-12
2585,0904  001,125 THOMPSON RD,2021-12-06,285000.0,1981,1778,125 Thompson Rd Fayette County GA,0904  001-12/6/2021-285000.0,160.29246344206973,2021,2021,12,2021-12
2586,070606005,290 ANNELISE PARK DR,2021-12-06,1150000.0,2019,4401,290 Annelise Park Dr Fayette County GA,070606005-12/6/2021-1150000.0,261.3042490343104,2021,2021,12,2021-12
2587,070808010,136 OAKRIDGE TRL,2021-12-06,430000.0,1996,2745,136 Oakridge Trl Fayette County GA,070808010-12/6/2021-430000.0,156.64845173041894,2021,2021,12,2021-12
2588,052301009,200 CHURCH ST,2021-12-06,399500.0,1900,3375,200 Church St Fayette County GA,052301009-12/6/2021-399500.0,118.37037037037037,2021,2021,12,2021-12
2589,045008002,545 WOODWARD DR,2021-12-06,769000.0,2010,3255,545 Woodward Dr Fayette County GA,045008002-12/6/2021-769000.0,236.25192012288787,2021,2021,12,2021-12
2590,053715055,120 HERITAGE CT,2021-12-06,321000.0,1995,2303,120 Heritage Ct Fayette County GA,053715055-12/6/2021-321000.0,139.38341293964393,2021,2021,12,2021-12
2591,073028003,311 CORONADO DR,2021-12-06,678000.0,1999,3408,311 Coronado Dr Fayette County GA,073028003-12/6/2021-678000.0,198.94366197183098,2021,2021,12,2021-12
2592,060813005,331 KENSINGTON DR,2021-12-06,429900.0,1990,2399,331 Kensington Dr Fayette County GA,060813005-12/6/2021-429900.0,179.19966652771987,2021,2021,12,2021-12
2593,053704012,155 WHITE OAK WAY,2021-12-03,265000.0,1979,1579,155 White Oak Way Fayette County GA,053704012-12/3/2021-265000.0,167.82773907536415,2021,2021,12,2021-12
2594,073462014,408 HALLMAN PL,2021-12-03,560934.0,2021,2706,408 Hallman Pl Fayette County GA,073462014-12/3/2021-560934.0,207.29268292682926,2021,2021,12,2021-12
2595,0737  118,190 CRESTWOOD RD,2021-12-03,375000.0,1985,2230,190 Crestwood Rd Fayette County GA,0737  118-12/3/2021-375000.0,168.16143497757847,2021,2021,12,2021-12
2596,073607011,121 BROOKGROVE LN,2021-12-03,490000.0,1999,2765,121 Brookgrove Ln Fayette County GA,073607011-12/3/2021-490000.0,177.21518987341773,2021,2021,12,2021-12
2597,043701026,470 POSTWOOD DR,2021-12-03,512500.0,1992,3852,470 Postwood Dr Fayette County GA,043701026-12/3/2021-512500.0,133.0477673935618,2021,2021,12,2021-12
2598,074547003,523 HAZELNUT DR,2021-12-03,595730.0,2021,2550,523 Hazelnut Dr Fayette County GA,074547003-12/3/2021-595730.0,233.61960784313726,2021,2021,12,2021-12
